Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,22306,-,-,India,24.65,73.75,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2012,1,4,14,30,166,718,584,166,718,584,1,27.73848792934325,955.2531127929688,17.878961404443157,54.44918418732746,1.2090484546812648,0.0,260.1100769042969,3.2685718536376953,0
2012,1,4,15,30,144,629,431,144,629,431,1,26.297400937301063,954.897216796875,19.371761488867623,62.885982659812555,1.2147075509439516,0.0,263.5251159667969,3.4660019874572754,0
2012,1,4,16,30,106,460,239,106,460,239,1,24.02875356948175,955.2793579101562,22.117049322323624,73.25784603007685,1.2242176773993185,0.0,267.7056884765625,3.419527292251587,0
2012,1,4,17,30,27,0,27,37,132,49,1,20.747653008350596,956.021240234375,27.060749227607918,84.84995798387179,1.238184636827329,0.0,273.5338134765625,3.3392059803009033,0
2012,1,4,18,30,0,0,0,0,0,0,1,19.057686837643757,956.9456176757812,30.248097606072893,97.22048250476236,1.2462915071262355,0.0,281.28363037109375,3.4330320358276367,0
2012,1,4,19,30,0,0,0,0,0,0,1,17.827994595694804,957.751220703125,32.917157933713256,110.09341737554247,1.241113038928331,0.0,288.8927001953125,3.4281322956085205,0
2012,1,4,20,30,0,0,0,0,0,0,1,16.81558325515789,958.053466796875,35.39562569560692,123.2992774943237,1.235747378372815,0.0,293.77130126953125,3.2721073627471924,0
2012,1,4,21,30,0,0,0,0,0,0,1,15.97786569750997,958.4588623046875,37.6553598625231,136.72510220153538,1.2497386661811238,0.0,295.8937683105469,3.0406007766723633,0
2012,1,4,22,30,0,0,0,0,0,0,1,15.295947067221448,958.3917236328125,39.766859621683395,150.28888332002106,1.2661989039332928,0.0,296.9036560058594,2.7746667861938477,0
2012,1,4,23,30,0,0,0,0,0,0,1,14.748398477086994,957.9371948242188,41.67765265726853,163.91007709787817,1.277653630796628,0.0,297.3671875,2.5387330055236816,0
2012,1,5,0,30,0,0,0,0,0,0,2,14.306645895505369,957.8276977539062,43.463633401338214,177.03340614911593,1.2977180390559715,0.0,296.4567565917969,2.3624062538146973,0
2012,1,5,1,30,0,0,0,0,0,0,2,13.93519323363165,957.7660522460938,44.8999953801757,168.36411357716753,1.3270780696459141,0.0,295.2486572265625,2.273228883743286,0
2012,1,5,2,30,0,0,0,0,0,0,2,13.619494599767108,957.5698852539062,46.15397383935933,154.7558015577796,1.357165682274441,0.0,293.23443603515625,2.2536685466766357,0
2012,1,5,3,30,0,0,0,0,0,0,2,13.33967276238701,957.4075317382812,47.271062092141335,141.16057740687245,1.3728173929481868,0.0,291.2276306152344,2.255545139312744,0
2012,1,5,4,30,0,0,0,0,0,0,2,13.122563399596629,957.5746459960938,48.451853741268025,127.67795091454116,1.4025570873649837,0.0,289.230712890625,2.280137538909912,0
2012,1,5,5,30,0,0,0,0,0,0,2,12.939249576082716,958.2713623046875,50.4058283402401,114.3847336698385,1.4473665210736177,0.0,286.9082946777344,2.249324321746826,0
